tmdb_id_tmdb,imdb_id,title,original_title,original_language,overview,poster_path,release_date,genres_tmdb_names,runtime,revenue,popularity_tmdb,averageRating,numVotes,primaryTitle,originalTitle,genres,startYear,tmdb_id_imdb,tmdb_id
436969,tt6334354,The Suicide Squad,The Suicide Squad,en,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",/q61qEyssk2ku3okWICKArlAdhBn.jpg,2021-07-28,"Action, Comedy, Adventure",132,168717425,14.9071,7.2,448562,The Suicide Squad,The Suicide Squad,"Action,Adventure,Comedy",2021.0,436969,436969
616037,tt10648342,Thor: Love and Thunder,Thor: Love and Thunder,en,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,2022-07-06,"Fantasy, Action, Comedy",119,760900000,9.0069,6.1,447632,Thor: Love and Thunder,Thor: Love and Thunder,"Action,Adventure,Comedy",2022.0,616037,616037
508442,tt2948372,Soul,Soul,en,"Joe Gardner is a middle school teacher with a love for jazz music. After a successful audition at the Half Note Club, he suddenly gets into an accident that separates his soul from his body and is transported to the You Seminar, a center in which souls develop and gain passions before being transported to a newborn child. Joe must enlist help from the other souls-in-training, like 22, a soul who has spent eons in the You Seminar, in order to get back to Earth.",/pEz5aROvfy5FBW1OTlrDO3VryWO.jpg,2020-12-25,"Animation, Family, Comedy, Fantasy, Drama",101,121977511,12.14,8.0,419100,Soul,Soul,"Adventure,Animation,Comedy",2020.0,508442,508442
524434,tt9032400,Eternals,Eternals,en,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",/lFByFSLV5WDJEv3KabbdAF959F2.jpg,2021-11-03,"Science Fiction, Action, Adventure",156,402064899,7.7448,6.2,418186,Eternals,Eternals,"Action,Adventure,Fantasy",2021.0,524434,524434
603692,tt10366206,John Wick: Chapter 4,John Wick: Chapter 4,en,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,2023-03-22,"Action, Thriller, Crime",170,440157245,13.2624,7.6,397288,John Wick: Chapter 4,John Wick: Chapter 4,"Action,Crime,Thriller",2023.0,603692,603692
615457,tt7888964,Nobody,Nobody,en,"Hutch Mansell, a suburban dad, overlooked husband, nothing neighbor — a ""nobody."" When two thieves break into his home one night, Hutch's unknown long-simmering rage is ignited and propels him on a brutal path that will uncover dark secrets he fought to leave behind.",/oBgWY00bEFeZ9N25wWVyuQddbAo.jpg,2021-03-18,"Action, Thriller",91,57512470,11.5201,7.4,378023,Nobody,Nobody,"Action,Crime,Drama",2021.0,615457,615457
933260,tt17526714,The Substance,The Substance,en,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",/lqoMzCcZYEFK729d6qzt349fB4o.jpg,2024-09-07,"Drama, Horror, Science Fiction",141,76506196,22.1565,7.2,358962,The Substance,The Substance,"Drama,Horror,Sci-Fi",2024.0,933260,933260
792307,tt14230458,Poor Things,Poor Things,en,"Brought back to life by an unorthodox scientist, a young woman runs off with a lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,2023-12-07,"Science Fiction, Romance, Comedy",141,117607117,11.3652,7.8,358395,Poor Things,Poor Things,"Comedy,Drama,Romance",2023.0,792307,792307
512195,tt7991608,Red Notice,Red Notice,en,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",/lAXONuqg41NwUMuzMiFvicDET9Y.jpg,2021-11-04,"Action, Comedy, Crime",118,178143,8.569,6.3,346686,Red Notice,Red Notice,"Action,Comedy,Thriller",2021.0,512195,512195
505642,tt9114286,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,en,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,2022-11-09,"Action, Adventure, Science Fiction",162,859102154,9.0183,6.6,343699,Black Panther: Wakanda Forever,Black Panther: Wakanda Forever,"Action,Adventure,Drama",2022.0,505642,505642
575264,tt9603212,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,en,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",/NNxYkU70HPurnNCSiCjYAmacwm.jpg,2023-07-08,"Action, Adventure, Thriller",164,571125435,15.6681,7.6,315532,Mission: Impossible - Dead Reckoning Part One,Mission: Impossible - Dead Reckoning Part One,"Action,Adventure,Thriller",2023.0,575264,575264
520763,tt8332922,A Quiet Place Part II,A Quiet Place Part II,en,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,2021-05-21,"Science Fiction, Thriller, Horror",96,297372261,9.1449,7.2,313407,A Quiet Place Part II,A Quiet Place Part II,"Drama,Horror,Sci-Fi",2020.0,520763,520763
762504,tt10954984,Nope,Nope,en,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",/AcKVlWaNVVVFQwro3nLXqPljcYA.jpg,2022-07-20,"Horror, Science Fiction, Thriller",130,170823080,6.9236,6.8,308518,Nope,Nope,"Horror,Mystery,Sci-Fi",2022.0,762504,762504
464052,tt7126948,Wonder Woman 1984,Wonder Woman 1984,en,A botched store robbery places Wonder Woman in a global battle against a powerful and mysterious ancient force that puts her powers in jeopardy.,/8UlWHLMpgZm9bx6QYh0NFoq67TZ.jpg,2020-12-16,"Action, Adventure, Fantasy",151,169601036,7.1025,5.3,307009,Wonder Woman 1984,Wonder Woman 1984,"Action,Adventure,Fantasy",2020.0,464052,464052
