tmdb_id,imdb_id,title,original_title,original_language,overview,poster_path,release_date,genres_tmdb_names,runtime,revenue,popularity_tmdb
937220,tt14308636,Bank of Dave,Bank of Dave,en,"The true story of how Dave Fishwick, a working class man and self-made millionaire, fought to set up a community bank so that he could help the local businesses of Burnley not only survive, but thrive. In his bid to help his beloved community, he has to take on the elitist financial institutions of London and fight to receive the first, new banking license to be issued in over 100 years.",/pKZ8nURAqNmuSpKVTYGko7SD1GP.jpg,2023-03-10,"Comedy, Drama",107,0,1.7304
706503,tt10456740,Lost Bullet,Balle perdue,fr,"A small time delinquent, turned police mechanic for a go fast task force, is forced to defend his innocence when his mentor is killed by dirty cops.",/qnlChF8U4diiykXQYs1miigGy7t.jpg,2020-06-19,"Action, Thriller, Crime",92,0,1.8826
695973,tt10739666,Satyameva Jayate 2,सत्यमेव जयते 2,hi,"Satya Azad, an upright Home Minister wants to cleanse the country of corruption with his Anti-Corruption Bill. However, it fails to get enough ‘Ayes’, not only from his allies, but also from his wife Vidya a member of the Opposition, who votes ‘Nay’ in the Vidhan Sabha. When a couple of gruesome killings take place in the city, ACP Jay Azad is brought in to nab the murderer, never mind his motive.",/y1ebOObyi97slwBTljIifE67PR5.jpg,2021-11-25,"Action, Crime, Drama, Thriller",141,0,2.6027
522478,tt8376234,Peter Rabbit 2: The Runaway,Peter Rabbit 2: The Runaway,en,"Peter Rabbit runs away from his human family when he learns they are going to portray him in a bad light in their book. Soon, he crosses paths with an older rabbit who ropes him into a heist.",/cycDz68DtTjJrDJ1fV8EBq2Xdpb.jpg,2021-03-25,"Family, Comedy, Adventure, Animation",93,153000000,8.1423
682587,tt11790780,The Alpinist,The Alpinist,en,"Marc-André Leclerc, an exceptional climber, has made solo his religion and ice his homeland. When filmmaker Peter Mortimer begins his film, he places his camera at the base of a British Columbia cliff and waits patiently for the star climber to come down to answer his questions. Marc André, a little uncomfortable, prefers to return to the depths of the forest where he lives in a tent with his girlfriend Brette Harrington. In the heart of winter, Peter films vertiginous solos on fragile ice. He tries to make appointments with the climber who is never there and does not seem really concerned by this camera pointed at him ""For me, it would not be a solo if there was someone else"" . Marc-André is thus, the ""pure light"" of the mountaineers of his time, which marvel Barry Blanchard, Alex Honnold or Reinhold Messner, interviewed in the film. An event film for an extraordinary character.",/tYbSGAVbyACEExptLu63CxCGm4O.jpg,2021-02-07,Documentary,93,1218734,0.9357
950071,tt15748830,Jaane Jaan,जाने जां,hi,"When a single mother her teenage daughter becomes ensnared in a deadly crime,  find an unexpected ally in their neighbor, a simple, doting but genius teacher math teacher comes to aid, while a tenacious cop digs into the case.",/oaUOV9VCNM5MjrmonqgH4o3XNwQ.jpg,2023-09-21,"Crime, Thriller, Drama",139,0,3.2818
661020,tt8597594,Adverse,Adverse,en,"In order to save his sister, a ride-share driver must infiltrate a dangerous crime syndicate.",/e2rzzyY2qNJNGE0jhBkTFTjiFpm.jpg,2021-02-12,"Crime, Thriller",94,0,1.6303
913823,tt16227014,Fire of Love,Fire of Love,en,"A doomed love triangle between intrepid French scientists Katia and Maurice Krafft, and their beloved volcanoes.",/9smEX8UP84yb2GisLwyAyQKvCWS.jpg,2022-07-06,Documentary,93,1695072,1.5359
842942,tt9853500,Bandit,Bandit,en,"After escaping a Michigan prison, a charming career criminal assumes a new identity in Canada and goes on to rob a record 59 banks and jewellery stores while being hunted by a rogue task force. Based on the true story of The Flying Bandit.",/yph9PAbmjYPvyvbeZvdYIhCZHEu.jpg,2022-09-23,"Crime, Drama, Thriller",126,0,4.1926
901315,tt16227342,Mr. & Mrs. Mahi,मिस्टर एंड मिसेज माही,hi,"Poles apart, Mahima and Mahendra find a unifying force in the form of cricket. While one Mahi (Mahendra) is grappling to come to terms with his dream of playing for India getting shattered, he wants to live it through the other Mahi (Mahima.) Mahima is a doctor but Mahendra hasn't seen anyone play like her. Will the clash of dreams unite Mr. and Mrs. Mahi or create boundaries for life?",/x1v8Qzvp46WEpxoBFlqaGfSsAxw.jpg,2024-05-31,"Drama, Romance",139,0,4.0366
